"","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round"
"1","GuamX","Ko'ko' Adult Survival","Scenario 1a","HMU",0.65,0.78,0.85,0.9,"Round 2"
"2","GuamX","Ko'ko' Adult Survival","Scenario 1b","HMU",0.51,0.65,0.78,0.9,"Round 2"
"3","GuamX","Ko'ko' Adult Survival","Scenario 1c","HMU",0.55,0.74,0.86,0.9,"Round 2"
"4","GuamX","Ko'ko' Adult Survival","Scenario 2a","HMU",0.65,0.76,0.85,0.9,"Round 2"
"5","GuamX","Ko'ko' Adult Survival","Scenario 2b","HMU",0.51,0.65,0.79,0.9,"Round 2"
"6","GuamX","Ko'ko' Adult Survival","Scenario 2c","HMU",0.55,0.72,0.87,0.9,"Round 2"
"7","GuamX","Ko'ko' Adult Survival","Scenario 3","HMU",0.65,0.74,0.85,0.9,"Round 2"
"8","GuamX","Ko'ko' Adult Survival","Scenario 1a","Refuge",0.65,0.78,0.85,0.9,"Round 2"
"9","GuamX","Ko'ko' Adult Survival","Scenario 1b","Refuge",0.51,0.65,0.78,0.9,"Round 2"
"10","GuamX","Ko'ko' Adult Survival","Scenario 1c","Refuge",0.55,0.74,0.86,0.9,"Round 2"
"11","GuamX","Ko'ko' Adult Survival","Scenario 2a","Refuge",0.65,0.76,0.85,0.9,"Round 2"
"12","GuamX","Ko'ko' Adult Survival","Scenario 2b","Refuge",0.51,0.65,0.79,0.9,"Round 2"
"13","GuamX","Ko'ko' Adult Survival","Scenario 2c","Refuge",0.55,0.72,0.87,0.9,"Round 2"
"14","GuamX","Ko'ko' Adult Survival","Scenario 3","Refuge",0.65,0.74,0.85,0.9,"Round 2"
"15","Expert 1","Ko'ko' Adult Survival","Scenario 1a","HMU",0.5,0.82,0.95,0.9,"Round 2"
"16","Expert 1","Ko'ko' Adult Survival","Scenario 1b","HMU",0.4,0.78,0.9,0.8,"Round 2"
"17","Expert 1","Ko'ko' Adult Survival","Scenario 1c","HMU",0.45,0.8,0.92,0.8,"Round 2"
"18","Expert 1","Ko'ko' Adult Survival","Scenario 2a","HMU",0.3,0.7,0.85,0.8,"Round 2"
"19","Expert 1","Ko'ko' Adult Survival","Scenario 2b","HMU",0.25,0.68,0.83,0.8,"Round 2"
"20","Expert 1","Ko'ko' Adult Survival","Scenario 2c","HMU",0.25,0.68,0.85,0.8,"Round 2"
"21","Expert 1","Ko'ko' Adult Survival","Scenario 3","HMU",0.5,0.82,0.95,0.9,"Round 2"
"22","Expert 1","Ko'ko' Adult Survival","Scenario 1a","Refuge",0.5,0.82,0.95,0.9,"Round 2"
"23","Expert 1","Ko'ko' Adult Survival","Scenario 1b","Refuge",0.4,0.78,0.9,0.8,"Round 2"
"24","Expert 1","Ko'ko' Adult Survival","Scenario 1c","Refuge",0.45,0.8,0.92,0.8,"Round 2"
"25","Expert 1","Ko'ko' Adult Survival","Scenario 2a","Refuge",0.3,0.7,0.85,0.8,"Round 2"
"26","Expert 1","Ko'ko' Adult Survival","Scenario 2b","Refuge",0.25,0.68,0.83,0.8,"Round 2"
"27","Expert 1","Ko'ko' Adult Survival","Scenario 2c","Refuge",0.25,0.68,0.85,0.8,"Round 2"
"28","Expert 1","Ko'ko' Adult Survival","Scenario 3","Refuge",0.5,0.82,0.95,0.9,"Round 2"
"29","aircon","Ko'ko' Adult Survival","Scenario 1a","HMU",0.55,0.65,0.75,0.8,"Round 2"
"30","aircon","Ko'ko' Adult Survival","Scenario 1b","HMU",0.45,0.55,0.65,0.8,"Round 2"
"31","aircon","Ko'ko' Adult Survival","Scenario 1c","HMU",0.5,0.6,0.7,0.8,"Round 2"
"32","aircon","Ko'ko' Adult Survival","Scenario 2a","HMU",0.45,0.55,0.65,0.8,"Round 2"
"33","aircon","Ko'ko' Adult Survival","Scenario 2b","HMU",0.35,0.45,0.55,0.8,"Round 2"
"34","aircon","Ko'ko' Adult Survival","Scenario 2c","HMU",0.4,0.5,0.6,0.8,"Round 2"
"35","aircon","Ko'ko' Adult Survival","Scenario 3","HMU",0.55,0.65,0.75,0.8,"Round 2"
"36","aircon","Ko'ko' Adult Survival","Scenario 1a","Refuge",0.55,0.65,0.75,0.8,"Round 2"
"37","aircon","Ko'ko' Adult Survival","Scenario 1b","Refuge",0.45,0.55,0.65,0.8,"Round 2"
"38","aircon","Ko'ko' Adult Survival","Scenario 1c","Refuge",0.5,0.6,0.7,0.8,"Round 2"
"39","aircon","Ko'ko' Adult Survival","Scenario 2a","Refuge",0.45,0.55,0.65,0.8,"Round 2"
"40","aircon","Ko'ko' Adult Survival","Scenario 2b","Refuge",0.35,0.45,0.55,0.8,"Round 2"
"41","aircon","Ko'ko' Adult Survival","Scenario 2c","Refuge",0.4,0.5,0.6,0.8,"Round 2"
"42","aircon","Ko'ko' Adult Survival","Scenario 3","Refuge",0.55,0.65,0.75,0.8,"Round 2"
"43","CDEDBDiis","Ko'ko' Adult Survival","Scenario 1a","HMU",0.84,0.9,0.95,0.85,"Round 2"
"44","CDEDBDiis","Ko'ko' Adult Survival","Scenario 1b","HMU",0.6,0.65,0.75,0.85,"Round 2"
"45","CDEDBDiis","Ko'ko' Adult Survival","Scenario 1c","HMU",0.7,0.75,0.8,0.85,"Round 2"
