"","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round"
"1","GuamX","Sali Adult Survival","Scenario 1a","HMU",0.55,0.77,0.85,0.9,"Round 2"
"2","GuamX","Sali Adult Survival","Scenario 1b","HMU",0.45,0.66,0.75,0.9,"Round 2"
"3","GuamX","Sali Adult Survival","Scenario 1c","HMU",0.45,0.71,0.8,0.9,"Round 2"
"4","GuamX","Sali Adult Survival","Scenario 2a","HMU",0.55,0.75,0.85,0.9,"Round 2"
"5","GuamX","Sali Adult Survival","Scenario 2b","HMU",0.45,0.63,0.75,0.9,"Round 2"
"6","GuamX","Sali Adult Survival","Scenario 2c","HMU",0.45,0.71,0.8,0.9,"Round 2"
"7","GuamX","Sali Adult Survival","Scenario 3","HMU",0.55,0.73,0.85,0.9,"Round 2"
"8","GuamX","Sali Adult Survival","Scenario 1a","Refuge",0.55,0.77,0.85,0.9,"Round 2"
"9","GuamX","Sali Adult Survival","Scenario 1b","Refuge",0.45,0.66,0.75,0.9,"Round 2"
"10","GuamX","Sali Adult Survival","Scenario 1c","Refuge",0.45,0.71,0.8,0.9,"Round 2"
"11","GuamX","Sali Adult Survival","Scenario 2a","Refuge",0.55,0.75,0.85,0.9,"Round 2"
"12","GuamX","Sali Adult Survival","Scenario 2b","Refuge",0.45,0.63,0.75,0.9,"Round 2"
"13","GuamX","Sali Adult Survival","Scenario 2c","Refuge",0.45,0.71,0.8,0.9,"Round 2"
"14","GuamX","Sali Adult Survival","Scenario 3","Refuge",0.55,0.73,0.85,0.9,"Round 2"
"15","Expert 1","Sali Adult Survival","Scenario 1a","HMU",0.2,0.6,0.75,0.8,"Round 2"
"16","Expert 1","Sali Adult Survival","Scenario 1b","HMU",0.05,0.35,0.55,0.8,"Round 2"
"17","Expert 1","Sali Adult Survival","Scenario 1c","HMU",0.1,0.5,0.65,0.8,"Round 2"
"18","Expert 1","Sali Adult Survival","Scenario 2a","HMU",0.15,0.55,0.65,0.8,"Round 2"
"19","Expert 1","Sali Adult Survival","Scenario 2b","HMU",0.1,0.3,0.55,0.8,"Round 2"
"20","Expert 1","Sali Adult Survival","Scenario 2c","HMU",0.1,0.45,0.6,0.8,"Round 2"
"21","Expert 1","Sali Adult Survival","Scenario 3","HMU",0.1,0.6,0.7,0.8,"Round 2"
"22","Expert 1","Sali Adult Survival","Scenario 1a","Refuge",0.4,0.7,0.85,0.9,"Round 2"
"23","Expert 1","Sali Adult Survival","Scenario 1b","Refuge",0.2,0.4,0.65,0.7,"Round 2"
"24","Expert 1","Sali Adult Survival","Scenario 1c","Refuge",0.2,0.55,0.7,0.8,"Round 2"
"25","Expert 1","Sali Adult Survival","Scenario 2a","Refuge",0.2,0.6,0.75,0.8,"Round 2"
"26","Expert 1","Sali Adult Survival","Scenario 2b","Refuge",0.2,0.35,0.6,0.8,"Round 2"
"27","Expert 1","Sali Adult Survival","Scenario 2c","Refuge",0.2,0.5,0.65,0.8,"Round 2"
"28","Expert 1","Sali Adult Survival","Scenario 3","Refuge",0.4,0.7,0.8,0.85,"Round 2"
"29","aircon","Sali Adult Survival","Scenario 1a","HMU",0.65,0.75,0.85,0.8,"Round 2"
"30","aircon","Sali Adult Survival","Scenario 1b","HMU",0.35,0.55,0.65,0.7,"Round 2"
"31","aircon","Sali Adult Survival","Scenario 1c","HMU",0.55,0.65,0.8,0.8,"Round 2"
"32","aircon","Sali Adult Survival","Scenario 2a","HMU",0.6,0.7,0.8,0.75,"Round 2"
"33","aircon","Sali Adult Survival","Scenario 2b","HMU",0.3,0.5,0.6,0.65,"Round 2"
"34","aircon","Sali Adult Survival","Scenario 2c","HMU",0.5,0.6,0.75,0.75,"Round 2"
"35","aircon","Sali Adult Survival","Scenario 3","HMU",0.65,0.75,0.85,0.8,"Round 2"
"36","aircon","Sali Adult Survival","Scenario 1a","Refuge",0.7,0.8,0.9,0.8,"Round 2"
"37","aircon","Sali Adult Survival","Scenario 1b","Refuge",0.4,0.6,0.7,0.7,"Round 2"
"38","aircon","Sali Adult Survival","Scenario 1c","Refuge",0.6,0.7,0.85,0.8,"Round 2"
"39","aircon","Sali Adult Survival","Scenario 2a","Refuge",0.65,0.75,0.85,0.75,"Round 2"
"40","aircon","Sali Adult Survival","Scenario 2b","Refuge",0.35,0.55,0.65,0.65,"Round 2"
"41","aircon","Sali Adult Survival","Scenario 2c","Refuge",0.55,0.65,0.8,0.75,"Round 2"
"42","aircon","Sali Adult Survival","Scenario 3","Refuge",0.7,0.8,0.9,0.8,"Round 2"
"43","CDEDBDiis","Sali Adult Survival","Scenario 1a","HMU",0.7,0.85,0.92,0.9,"Round 2"
"44","CDEDBDiis","Sali Adult Survival","Scenario 1b","HMU",0.5,0.65,0.75,0.9,"Round 2"
"45","CDEDBDiis","Sali Adult Survival","Scenario 1c","HMU",0.55,0.7,0.8,0.9,"Round 2"
"46","CDEDBDiis","Sali Adult Survival","Scenario 2a","HMU",0.65,0.75,0.88,0.9,"Round 2"
"47","CDEDBDiis","Sali Adult Survival","Scenario 2b","HMU",0.5,0.57,0.7,0.9,"Round 2"
"48","CDEDBDiis","Sali Adult Survival","Scenario 2c","HMU",0.5,0.62,0.75,0.9,"Round 2"
"49","CDEDBDiis","Sali Adult Survival","Scenario 3","HMU",0.7,0.8,0.9,0.85,"Round 2"
"50","CDEDBDiis","Sali Adult Survival","Scenario 1a","Refuge",0.7,0.85,0.92,0.9,"Round 2"
"51","CDEDBDiis","Sali Adult Survival","Scenario 1b","Refuge",0.5,0.65,0.75,0.9,"Round 2"
"52","CDEDBDiis","Sali Adult Survival","Scenario 1c","Refuge",0.55,0.7,0.8,0.9,"Round 2"
"53","CDEDBDiis","Sali Adult Survival","Scenario 2a","Refuge",0.65,0.75,0.88,0.9,"Round 2"
"54","CDEDBDiis","Sali Adult Survival","Scenario 2b","Refuge",0.5,0.57,0.7,0.9,"Round 2"
"55","CDEDBDiis","Sali Adult Survival","Scenario 2c","Refuge",0.5,0.62,0.75,0.9,"Round 2"
"56","CDEDBDiis","Sali Adult Survival","Scenario 3","Refuge",0.7,0.8,0.9,0.9,"Round 2"
"57","96929","Sali Adult Survival","Scenario 1a","HMU",0.6,0.74,0.85,0.9,"Round 2"
"58","96929","Sali Adult Survival","Scenario 1b","HMU",0.5,0.6068,0.8,0.9,"Round 2"
"59","96929","Sali Adult Survival","Scenario 1c","HMU",0.53,0.666,0.83,0.9,"Round 2"
"60","96929","Sali Adult Survival","Scenario 2a","HMU",0.55,0.7104,0.85,0.9,"Round 2"
"61","96929","Sali Adult Survival","Scenario 2b","HMU",0.5,0.592,0.8,0.9,"Round 2"
"62","96929","Sali Adult Survival","Scenario 2c","HMU",0.53,0.6512,0.83,0.9,"Round 2"
"63","96929","Sali Adult Survival","Scenario 3","HMU",0.6,0.74,0.85,0.9,"Round 2"
"64","96929","Sali Adult Survival","Scenario 1a","Refuge",0.58,0.8,0.88,0.9,"Round 2"
"65","96929","Sali Adult Survival","Scenario 1b","Refuge",0.52,0.7,0.82,0.9,"Round 2"
