"","X","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round","alphas","betas","dist"
"1",1,"GuamX","Sali Adult Survival","Scenario 1a","HMU",0.55,0.77,0.85,0.9,"Round 2",12.7738061763532,4.31880487269851,"beta"
"2",2,"GuamX","Sali Adult Survival","Scenario 1b","HMU",0.45,0.66,0.75,0.9,"Round 2",15.6338718205752,8.37548911073784,"beta"
"3",3,"GuamX","Sali Adult Survival","Scenario 1c","HMU",0.45,0.71,0.8,0.9,"Round 2",9.70482464371824,4.54761887306849,"beta"
"4",4,"GuamX","Sali Adult Survival","Scenario 2a","HMU",0.55,0.75,0.85,0.9,"Round 2",14.6854259602654,5.29218151779669,"beta"
"5",5,"GuamX","Sali Adult Survival","Scenario 2b","HMU",0.45,0.63,0.75,0.9,"Round 2",16.5476240327279,9.90413053557693,"beta"
"6",6,"GuamX","Sali Adult Survival","Scenario 2c","HMU",0.45,0.71,0.8,0.9,"Round 2",9.82645305593964,4.60019074751067,"beta"
"7",7,"GuamX","Sali Adult Survival","Scenario 3","HMU",0.55,0.73,0.85,0.9,"Round 2",16.3201213701314,6.31039774833774,"beta"
"8",8,"GuamX","Sali Adult Survival","Scenario 1a","Refuge",0.55,0.77,0.85,0.9,"Round 2",12.8018714717297,4.33357628123959,"beta"
"9",9,"GuamX","Sali Adult Survival","Scenario 1b","Refuge",0.45,0.66,0.75,0.9,"Round 2",15.8351785350426,8.4535259763151,"beta"
"10",10,"GuamX","Sali Adult Survival","Scenario 1c","Refuge",0.45,0.71,0.8,0.9,"Round 2",9.82476986890534,4.58953786706635,"beta"
"11",11,"GuamX","Sali Adult Survival","Scenario 2a","Refuge",0.55,0.75,0.85,0.9,"Round 2",14.3258566095066,5.18612008681805,"beta"
"12",12,"GuamX","Sali Adult Survival","Scenario 2b","Refuge",0.45,0.63,0.75,0.9,"Round 2",16.3762475505255,9.79385243320079,"beta"
"13",13,"GuamX","Sali Adult Survival","Scenario 2c","Refuge",0.45,0.71,0.8,0.9,"Round 2",9.74654203288641,4.56028777871733,"beta"
"14",14,"GuamX","Sali Adult Survival","Scenario 3","Refuge",0.55,0.73,0.85,0.9,"Round 2",16.1288045559307,6.25442694052742,"beta"
"15",15,"Expert 1","Sali Adult Survival","Scenario 1a","HMU",0.2,0.6,0.75,0.8,"Round 2",2.91315640891783,2.3131630861127,"beta"
"16",16,"Expert 1","Sali Adult Survival","Scenario 1b","HMU",0.05,0.35,0.55,0.8,"Round 2",3.06321270587185,5.0174373770964,"beta"
"17",17,"Expert 1","Sali Adult Survival","Scenario 1c","HMU",0.1,0.5,0.65,0.8,"Round 2",2.72059519068208,2.80164390245351,"beta"
"18",18,"Expert 1","Sali Adult Survival","Scenario 2a","HMU",0.15,0.55,0.65,0.8,"Round 2",3.18371551343858,2.90820090961077,"beta"
"19",19,"Expert 1","Sali Adult Survival","Scenario 2b","HMU",0.1,0.3,0.55,0.8,"Round 2",2.97665844862497,5.70566340278075,"beta"
"20",20,"Expert 1","Sali Adult Survival","Scenario 2c","HMU",0.1,0.45,0.6,0.8,"Round 2",3.24377239682731,3.9318594563872,"beta"
